family,genus,species,taxonomic.rank,taxon,LME,FAO,habitat,feeding.mode,tl,level.tl,body.shape,fin.shape,AR,offspring.size,spawning.type,age.maturity,fecundity,length.infinity,growth.coefficient,length.max,age.max
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,2,67,demersal,benthivorous,3.36,spe,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,19,0.46,31,7
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,3,67,demersal,benthivorous,3.36,spe,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,19,0.46,31,7
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,53,61,demersal,benthivorous,3.36,spe,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,16,0.33,31,7
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,54,61,demersal,benthivorous,3.36,spe,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,16,0.33,31,7
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,54,67,demersal,benthivorous,3.36,spe,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,19,0.46,31,7
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,65,27,demersal,benthivorous,3.36,spe,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,15,0.47,31,7
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,65,61,demersal,benthivorous,3.36,spe,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,16,0.33,31,7
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,65,67,demersal,benthivorous,3.36,spe,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,19,0.46,31,7
Gonostomatidae,Cyclothone,acclinidens,S,Cyclothone acclinidens,65,61,bathypelagic,planktivorous,3.55,spe,elongated,forked,0.78,0.5,non-guarder,1,2267,8,0.85,4,3
Gonostomatidae,Cyclothone,acclinidens,S,Cyclothone acclinidens,65,67,bathypelagic,planktivorous,3.55,spe,elongated,forked,0.78,0.5,non-guarder,1,2267,8,0.85,4,3
Rajidae,Raja,ackleyi,S,Raja ackleyi,5,31,demersal,generalist,3.89,genus,flat,pointed,NA,82.57,non-guarder,4.6,66,124,0.12,51,18
Macrouridae,Coryphaenoides,acrolepis,S,Coryphaenoides acrolepis,1,67,bathydemersal,generalist,3.8,spe,elongated,pointed,0.21,1.5,non-guarder,10,29976,121,0.03,104,73
Macrouridae,Coryphaenoides,acrolepis,S,Coryphaenoides acrolepis,2,67,bathydemersal,generalist,3.8,spe,elongated,pointed,0.21,1.5,non-guarder,10,29976,121,0.03,104,73
Macrouridae,Coryphaenoides,acrolepis,S,Coryphaenoides acrolepis,3,67,bathydemersal,generalist,3.8,spe,elongated,pointed,0.21,1.5,non-guarder,10,29976,121,0.03,104,73
Macrouridae,Coryphaenoides,acrolepis,S,Coryphaenoides acrolepis,3,77,bathydemersal,generalist,3.8,spe,elongated,pointed,0.21,1.5,non-guarder,10,29976,121,0.03,104,73
Carcharhinidae,Carcharhinus,acronotus,S,Carcharhinus acronotus,5,31,reef-associated,piscivorous,4.36,spe,fusiform,heterocercal,1.83,500,bearer,2.8,5,145,0.29,130,20
Carcharhinidae,Carcharhinus,acronotus,S,Carcharhinus acronotus,6,21,reef-associated,piscivorous,4.36,spe,fusiform,heterocercal,1.83,500,bearer,2.8,5,215,0.13,130,20
Carcharhinidae,Carcharhinus,acronotus,S,Carcharhinus acronotus,6,31,reef-associated,piscivorous,4.36,spe,fusiform,heterocercal,1.83,500,bearer,2.8,5,215,0.13,130,20
Carcharhinidae,Carcharhinus,acronotus,S,Carcharhinus acronotus,7,21,reef-associated,piscivorous,4.36,spe,fusiform,heterocercal,1.83,500,bearer,2.8,5,180,0.18,130,20
Chaetodontidae,Prognathodes,aculeatus,S,Prognathodes aculeatus,6,31,reef-associated,benthivorous,3.36,spe,compressiform,truncate,2.18,0.72,non-guarder,1,15350,14,1.15,10,20
Gasterosteidae,Gasterosteus,aculeatus,S,Gasterosteus aculeatus,2,67,benthopelagic,generalist,3.31,spe,fusiform,truncate,2.04,1.5,guarder,2,470,9,1.78,10,8
Gasterosteidae,Gasterosteus,aculeatus,S,Gasterosteus aculeatus,3,77,benthopelagic,generalist,3.31,spe,fusiform,truncate,2.04,1.5,guarder,2,470,9,1.78,10,8
Gasterosteidae,Gasterosteus,aculeatus,S,Gasterosteus aculeatus,7,21,benthopelagic,generalist,3.31,spe,fusiform,truncate,2.04,1.5,guarder,2,250,7,2.15,10,8
Gasterosteidae,Gasterosteus,aculeatus,S,Gasterosteus aculeatus,8,21,benthopelagic,generalist,3.31,spe,fusiform,truncate,2.04,1.5,guarder,2,470,7,2.15,10,8
Gasterosteidae,Gasterosteus,aculeatus,S,Gasterosteus aculeatus,20,27,benthopelagic,generalist,3.31,spe,fusiform,truncate,2.04,1.5,guarder,1,470,6,2.48,8,5
Gasterosteidae,Gasterosteus,aculeatus,S,Gasterosteus aculeatus,21,27,benthopelagic,generalist,3.31,spe,fusiform,truncate,2.04,1.5,guarder,2,470,6,2.48,10,8
Gasterosteidae,Gasterosteus,aculeatus,S,Gasterosteus aculeatus,22,27,benthopelagic,generalist,3.31,spe,fusiform,truncate,2.04,1.5,guarder,2,470,7,2.32,10,8
Gasterosteidae,Gasterosteus,aculeatus,S,Gasterosteus aculeatus,23,27,benthopelagic,generalist,3.31,spe,fusiform,truncate,2.04,1.5,guarder,2,250,7,1.79,10,8
Gasterosteidae,Gasterosteus,aculeatus,S,Gasterosteus aculeatus,24,27,benthopelagic,generalist,3.31,spe,fusiform,truncate,2.04,1.5,guarder,2,250,5,3.12,10,8
Ogcocephalidae,Halieutichthys,aculeatus,S,Halieutichthys aculeatus,5,31,reef-associated,benthivorous,3.54,family,short and/or deep,rounded,1.25,0.16,non-guarder,NA,50,15,0.3,10,NA
Ogcocephalidae,Halieutichthys,aculeatus,S,Halieutichthys aculeatus,6,21,reef-associated,benthivorous,3.54,family,short and/or deep,rounded,1.25,0.16,non-guarder,NA,50,15,0.3,10,NA
Ogcocephalidae,Halieutichthys,aculeatus,S,Halieutichthys aculeatus,6,31,reef-associated,benthivorous,3.54,family,short and/or deep,rounded,1.25,0.16,non-guarder,NA,50,15,0.3,10,NA
Ogcocephalidae,Halieutichthys,aculeatus,S,Halieutichthys aculeatus,7,21,reef-associated,benthivorous,3.54,family,short and/or deep,rounded,1.25,0.16,non-guarder,NA,50,15,0.3,10,NA
Ogcocephalidae,Halieutichthys,aculeatus,S,Halieutichthys aculeatus,8,21,reef-associated,benthivorous,3.54,family,short and/or deep,rounded,1.25,0.16,non-guarder,NA,50,15,0.3,10,NA
Sternoptychidae,Argyropelecus,aculeatus,S,Argyropelecus aculeatus,5,31,bathypelagic,generalist,3.67,spe,short and/or deep,forked,3.5,0.98,non-guarder,1,350,10,0.67,8,1
Sternoptychidae,Argyropelecus,aculeatus,S,Argyropelecus aculeatus,7,21,bathypelagic,generalist,3.67,spe,short and/or deep,forked,3.5,0.98,non-guarder,1,350,10,0.67,8,1
Sternoptychidae,Argyropelecus,aculeatus,S,Argyropelecus aculeatus,8,21,bathypelagic,generalist,3.67,spe,short and/or deep,forked,3.5,0.98,non-guarder,1,350,10,0.67,8,1
Sternoptychidae,Argyropelecus,aculeatus,S,Argyropelecus aculeatus,25,27,bathypelagic,generalist,3.67,spe,short and/or deep,forked,3.5,0.98,non-guarder,1,350,10,0.67,8,1
Gasterosteidae,Gasterosteus,aculeatus williamsoni,S,Gasterosteus aculeatus williamsoni,22,27,benthopelagic,generalist,3.17,genus,fusiform,truncate,1.97,1.5,guarder,2,308,7,2.32,9,8
Sciaenidae,Pareques,acuminatus,S,Pareques acuminatus,5,31,reef-associated,benthivorous,3.59,spe,fusiform,rounded,1.25,0.75,non-guarder,2.3,311878,73,0.26,23,16
Sciaenidae,Pareques,acuminatus,S,Pareques acuminatus,6,31,reef-associated,benthivorous,3.59,spe,fusiform,rounded,1.25,0.75,non-guarder,2.3,311878,62,0.27,23,16
Syngnathidae,Syngnathus,acus,S,Syngnathus acus,22,27,demersal,benthivorous,3.33,spe,eel-like,rounded,0.87,2.05,bearer,1.5,221,23,0.63,21,3
Syngnathidae,Syngnathus,acus,S,Syngnathus acus,23,27,demersal,benthivorous,3.33,spe,eel-like,rounded,0.87,2.05,bearer,1.5,221,23,0.63,21,3
Syngnathidae,Syngnathus,acus,S,Syngnathus acus,24,27,demersal,benthivorous,3.33,spe,eel-like,rounded,0.87,2.05,bearer,1.5,221,23,0.63,21,3
Syngnathidae,Syngnathus,acus,S,Syngnathus acus,25,27,demersal,benthivorous,3.33,spe,eel-like,rounded,0.87,2.05,bearer,1.5,221,23,0.63,21,3
Cottidae,Clinocottus,acuticeps,S,Clinocottus acuticeps,3,67,demersal,benthivorous,3.5,spe,elongated,rounded,0.95,1.96,non-guarder,3.9,31696,12,0.32,6,5
Cottidae,Clinocottus,acuticeps,S,Clinocottus acuticeps,3,77,demersal,benthivorous,3.5,spe,elongated,rounded,0.95,1.96,non-guarder,3.9,31696,12,0.32,6,5
Notosudidae,Scopelosaurus,adleri,S,Scopelosaurus adleri,65,61,bathypelagic,piscivorous,4.48,spe,elongated,forked,1.71,0.6,non-guarder,NA,NA,23,0.67,31,NA
Zoarcidae,Lycodes,adolfi,S,Lycodes adolfi,20,27,bathydemersal,benthivorous,3.5,spe,elongated,pointed,NA,5.6,guarder,3.6,30,21,0.21,24,14.4
Zoarcidae,Lycodes,adolfi,S,Lycodes adolfi,21,27,bathydemersal,benthivorous,3.5,spe,elongated,pointed,NA,5.6,guarder,3.6,30,21,0.21,24,14.4
Zoarcidae,Lycodes,adolfi,S,Lycodes adolfi,59,27,bathydemersal,benthivorous,3.5,spe,elongated,pointed,NA,5.6,guarder,3.6,30,21,0.21,24,14.4
Holocentridae,Holocentrus,adscensionis,S,Holocentrus adscensionis,5,31,reef-associated,benthivorous,3.11,spe,fusiform,lunate,2.11,NA,non-guarder,NA,153069,33,1.18,28,NA
Holocentridae,Holocentrus,adscensionis,S,Holocentrus adscensionis,6,31,reef-associated,benthivorous,3.11,spe,fusiform,lunate,2.11,NA,non-guarder,NA,153069,33,1.18,28,NA
Serranidae,Epinephelus,adscensionis,S,Epinephelus adscensionis,5,31,demersal,generalist,3.53,spe,fusiform,truncate,1.2,0.79,non-guarder,3.9,4598643,50,0.13,60,12
Serranidae,Epinephelus,adscensionis,S,Epinephelus adscensionis,6,31,demersal,generalist,3.53,spe,fusiform,truncate,1.2,0.79,non-guarder,3.9,4598643,50,0.16,60,12
Labridae,Tautogolabrus,adspersus,S,Tautogolabrus adspersus,7,21,reef-associated,benthivorous,3.72,spe,fusiform,truncate,0.99,0.91,non-guarder,1,160631,30,0.2,38,6
Labridae,Tautogolabrus,adspersus,S,Tautogolabrus adspersus,8,21,reef-associated,benthivorous,3.72,spe,fusiform,truncate,0.99,0.91,non-guarder,1,160631,30,0.2,38,6
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,7,21,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.38,non-guarder,3.4,969000,76,0.33,76,20
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,8,21,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.38,non-guarder,3.4,969000,70,0.24,76,16
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,9,21,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.38,non-guarder,3.4,969000,63,0.21,76,20
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,18,21,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.38,non-guarder,3.4,875571,70,0.24,76,20
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,19,21,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.38,non-guarder,3.4,875571,70,0.24,76,20
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,19,27,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.38,non-guarder,2.6,875571,68,0.21,76,20
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,20,27,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.43,non-guarder,4.4,9085000,86,0.16,110,20
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,21,27,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.38,non-guarder,2.6,969000,89,0.12,76,20
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,22,27,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.38,non-guarder,2.6,875571,62,0.23,76,20
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,23,27,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.38,non-guarder,2.6,969000,68,0.21,76,16
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,24,27,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.38,non-guarder,2.6,969000,68,0.21,76,20
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,25,27,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.38,non-guarder,2.6,969000,68,0.21,76,20
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,59,27,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.38,non-guarder,2.6,969000,81,0.23,76,20
Gadidae,Melanogrammus,aeglefinus,S,Melanogrammus aeglefinus,60,27,demersal,benthivorous,4.03,spe,fusiform,truncate,1.43,1.38,non-guarder,2.6,969000,78,0.22,76,20
Cottidae,Myoxocephalus,aenaeus,S,Myoxocephalus aenaeus,7,21,demersal,generalist,3.74,spe,fusiform,rounded,0.69,2.15,guarder,5.4,8228,30,0.72,19,12
Cottidae,Myoxocephalus,aenaeus,S,Myoxocephalus aenaeus,8,21,demersal,generalist,3.74,spe,fusiform,rounded,0.69,2.15,guarder,5.4,8228,30,0.72,19,12
Cottidae,Myoxocephalus,aenaeus,S,Myoxocephalus aenaeus,9,21,demersal,generalist,3.74,spe,fusiform,rounded,0.69,2.15,guarder,5.4,8228,30,0.72,19,12
Icosteidae,Icosteus,aenigmaticus,S,Icosteus aenigmaticus,2,67,bathypelagic,generalist,4.5,spe,fusiform,rounded,1.35,2.9,non-guarder,NA,364000,214,0.13,213,NA
Icosteidae,Icosteus,aenigmaticus,S,Icosteus aenigmaticus,3,67,bathypelagic,generalist,4.5,spe,fusiform,rounded,1.35,2.9,non-guarder,NA,364000,214,0.13,213,NA
Icosteidae,Icosteus,aenigmaticus,S,Icosteus aenigmaticus,3,77,bathypelagic,generalist,4.5,spe,fusiform,rounded,1.35,2.9,non-guarder,NA,364000,214,0.13,213,NA
Macrouridae,Nezumia,aequalis,S,Nezumia aequalis,23,27,benthopelagic,generalist,3.26,spe,elongated,pointed,0.21,1.5,non-guarder,12.4,31226,30,0.13,36,9
Macrouridae,Nezumia,aequalis,S,Nezumia aequalis,24,27,benthopelagic,generalist,3.26,spe,elongated,pointed,0.21,1.5,non-guarder,4,29976,30,0.13,36,9
Macrouridae,Nezumia,aequalis,S,Nezumia aequalis,25,27,benthopelagic,generalist,3.26,spe,elongated,pointed,0.21,1.5,non-guarder,4,31226,30,0.13,36,9
Macrouridae,Nezumia,aequalis,S,Nezumia aequalis,59,27,benthopelagic,generalist,3.26,spe,elongated,pointed,0.21,1.5,non-guarder,4,31226,30,0.13,36,9
Syngnathidae,Entelurus,aequoreus,S,Entelurus aequoreus,20,27,demersal,generalist,3.54,spe,eel-like,pointed,0.87,1.2,bearer,2,600,26,0.74,61,7.5
Syngnathidae,Entelurus,aequoreus,S,Entelurus aequoreus,21,27,demersal,generalist,3.54,spe,eel-like,pointed,0.87,1.2,bearer,2,500,26,0.74,60,7.5
Syngnathidae,Entelurus,aequoreus,S,Entelurus aequoreus,22,27,demersal,generalist,3.54,spe,eel-like,pointed,0.87,1.2,bearer,2,500,26,0.74,60,7.5
Syngnathidae,Entelurus,aequoreus,S,Entelurus aequoreus,23,27,demersal,generalist,3.54,spe,eel-like,pointed,0.87,1.2,bearer,2,500,26,0.74,60,7.5
Syngnathidae,Entelurus,aequoreus,S,Entelurus aequoreus,24,27,demersal,generalist,3.54,spe,eel-like,pointed,0.87,1.2,bearer,2,500,26,0.74,60,7.5
Syngnathidae,Entelurus,aequoreus,S,Entelurus aequoreus,25,27,demersal,generalist,3.54,spe,eel-like,pointed,0.87,1.2,bearer,2,500,26,0.74,60,7.5
Syngnathidae,Entelurus,aequoreus,S,Entelurus aequoreus,59,27,demersal,generalist,3.54,spe,eel-like,pointed,0.87,1.2,bearer,2,500,26,0.74,60,7.5
Clupeidae,Alosa,aestivalis,S,Alosa aestivalis,6,21,benthopelagic,generalist,3.81,spe,fusiform,forked,2.9,1,non-guarder,4,197750,45,0.29,38,8
Clupeidae,Alosa,aestivalis,S,Alosa aestivalis,6,31,benthopelagic,generalist,3.81,spe,fusiform,forked,2.9,1,non-guarder,4,202825,45,0.29,38,8
Clupeidae,Alosa,aestivalis,S,Alosa aestivalis,7,21,benthopelagic,generalist,3.81,spe,fusiform,forked,2.9,1,non-guarder,4,197750,45,0.29,38,8
Clupeidae,Alosa,aestivalis,S,Alosa aestivalis,8,21,benthopelagic,generalist,3.81,spe,fusiform,forked,2.9,1,non-guarder,4,202825,45,0.29,38,8
Apogonidae,Apogon,affinis,S,Apogon affinis,5,31,reef-associated,planktivorous,3.48,genus,fusiform,forked,1.31,0.24,bearer,1,11450,15,0.9,7,3.4
Atherinidae,Atherinops,affinis,S,Atherinops affinis,3,77,pelagic,planktivorous,2.76,spe,elongated,forked,1.24,1.87,non-guarder,2,1500,12,0.49,37,9
Chimaeridae,Hydrolagus,affinis,S,Hydrolagus affinis,7,21,bathydemersal,generalist,4,spe,elongated,pointed,0.56,150,non-guarder,12,19,88,0.21,130,28
Chimaeridae,Hydrolagus,affinis,S,Hydrolagus affinis,8,21,bathydemersal,generalist,4,spe,elongated,pointed,0.56,150,non-guarder,12,19,88,0.21,130,28
Exocoetidae,Hirundichthys,affinis,S,Hirundichthys affinis,5,31,pelagic,generalist,3.79,spe,elongated,lunate,3.04,1.85,non-guarder,NA,13980,29,2.68,24,1
Halosauridae,Aldrovandia,affinis,S,Aldrovandia affinis,7,21,benthopelagic,benthivorous,3.3,spe,elongated,pointed,NA,NA,non-guarder,NA,NA,61,0.39,55,36
Halosauridae,Aldrovandia,affinis,S,Aldrovandia affinis,8,21,benthopelagic,benthivorous,3.3,spe,eel-like,pointed,NA,NA,non-guarder,NA,NA,61,0.39,55,36
Paralepididae,Macroparalepis,affinis,S,Macroparalepis affinis,24,27,bathypelagic,planktivorous,3.4,genus,elongated,forked,1.07,1.9,non-guarder,6,50200,21,0.7,55,4
Sternoptychidae,Argyropelecus,affinis,S,Argyropelecus affinis,2,67,bathypelagic,planktivorous,3.09,spe,short and/or deep,forked,0.64,0.98,non-guarder,1,350,10,0.67,3,1
Sternoptychidae,Argyropelecus,affinis,S,Argyropelecus affinis,3,67,bathypelagic,planktivorous,3.09,spe,short and/or deep,forked,0.64,0.98,non-guarder,1,350,10,0.67,3,1
